Time,mercadobitcoin
2012-02-07 00:00:00 UTC,13.0
2012-02-08 00:00:00 UTC,12.2333333333333
2012-02-09 00:00:00 UTC,11.4124975
2012-02-10 00:00:00 UTC,12.1295833333333
2012-02-12 00:00:00 UTC,11.55
2012-02-13 00:00:00 UTC,11.505
2012-02-14 00:00:00 UTC,10.9386666666667
2012-02-15 00:00:00 UTC,9.75
2012-02-16 00:00:00 UTC,10.1275
2012-02-17 00:00:00 UTC,10.0
2012-02-18 00:00:00 UTC,9.944995
2012-02-19 00:00:00 UTC,9.876
2012-02-20 00:00:00 UTC,9.25
2012-02-21 00:00:00 UTC,9.25
2012-02-22 00:00:00 UTC,9.026
2012-02-24 00:00:00 UTC,9.05
2012-02-25 00:00:00 UTC,9.42714285714285
2012-02-27 00:00:00 UTC,9.7
2012-02-29 00:00:00 UTC,9.994995
2012-03-01 00:00:00 UTC,9.5
2012-03-02 00:00:00 UTC,9.5
2012-03-03 00:00:00 UTC,9.9999975
2012-03-04 00:00:00 UTC,10.04
2012-03-05 00:00:00 UTC,10.0778571428571
2012-03-06 00:00:00 UTC,10.089
2012-03-07 00:00:00 UTC,10.047
2012-03-08 00:00:00 UTC,10.138
2012-03-09 00:00:00 UTC,10.13
2012-03-11 00:00:00 UTC,10.0
2012-03-12 00:00:00 UTC,10.089
2012-03-13 00:00:00 UTC,10.1044444444444
2012-03-14 00:00:00 UTC,10.11
2012-03-15 00:00:00 UTC,10.1662
2012-03-16 00:00:00 UTC,10.1855
2012-03-17 00:00:00 UTC,10.2171428571429
2012-03-19 00:00:00 UTC,10.264
2012-03-20 00:00:00 UTC,9.57786779388084
2012-03-21 00:00:00 UTC,10.0912
2012-03-22 00:00:00 UTC,9.92708333333333
2012-03-23 00:00:00 UTC,9.84166666666667
2012-03-24 00:00:00 UTC,10.2883333333333
2012-03-25 00:00:00 UTC,10.2896666666667
2012-03-26 00:00:00 UTC,10.425
2012-03-27 00:00:00 UTC,10.375
2012-03-28 00:00:00 UTC,10.365
2012-03-29 00:00:00 UTC,10.8261904761905
2012-04-02 00:00:00 UTC,10.6
2012-04-03 00:00:00 UTC,10.0
2012-04-04 00:00:00 UTC,10.566
2012-04-05 00:00:00 UTC,10.3108333333333
2012-04-06 00:00:00 UTC,10.998
2012-04-07 00:00:00 UTC,10.79
2012-04-08 00:00:00 UTC,11.09995
2012-04-09 00:00:00 UTC,11.0999333333333
2012-04-10 00:00:00 UTC,10.1421875
2012-04-11 00:00:00 UTC,10.1722
2012-04-12 00:00:00 UTC,10.169
2012-04-13 00:00:00 UTC,10.4876977037037
2012-04-14 00:00:00 UTC,10.9766666666667
2012-04-16 00:00:00 UTC,10.99
2012-04-17 00:00:00 UTC,11.0808333333333
2012-04-18 00:00:00 UTC,10.9092791666667
2012-04-19 00:00:00 UTC,11.4944978571429
2012-04-20 00:00:00 UTC,10.9746654166667
2012-04-21 00:00:00 UTC,11.649
2012-04-24 00:00:00 UTC,11.6034230769231
2012-04-25 00:00:00 UTC,11.65
2012-04-26 00:00:00 UTC,11.65
