Time,anxbtc,bitmarket,btcmarkets,mtgox
2011-11-17 00:00:00 UTC,,,,2.33854879166667
2011-11-18 00:00:00 UTC,,,,2.24591758333333
2011-11-19 00:00:00 UTC,,,,2.16329066666666
2011-11-20 00:00:00 UTC,,,,
2011-11-21 00:00:00 UTC,,,,2.2766175
2011-11-22 00:00:00 UTC,,,,2.37234993040293
2011-11-23 00:00:00 UTC,,,,2.41543096666667
2011-11-24 00:00:00 UTC,,,,2.48754416666667
2011-11-25 00:00:00 UTC,,,,2.53443333333333
2011-11-26 00:00:00 UTC,,,,2.62406777777778
2011-11-27 00:00:00 UTC,,,,2.57317
2011-11-28 00:00:00 UTC,,,,2.623684
2011-11-29 00:00:00 UTC,,,,2.89339902525252
2011-11-30 00:00:00 UTC,,,,2.87275916666667
2011-12-01 00:00:00 UTC,,,,3.00799
2011-12-02 00:00:00 UTC,,,,3.097009375
2011-12-03 00:00:00 UTC,,,,2.87524888888889
2011-12-04 00:00:00 UTC,,,,2.69990333333334
2011-12-05 00:00:00 UTC,,,,2.84813457189543
2011-12-06 00:00:00 UTC,,,,2.94732797979798
2011-12-07 00:00:00 UTC,,,,2.94733516795866
2011-12-08 00:00:00 UTC,,,,2.94324042207792
2011-12-09 00:00:00 UTC,,,,2.96698470421245
2011-12-10 00:00:00 UTC,,,,3.0310575
2011-12-11 00:00:00 UTC,,,,3.10047660714286
2011-12-12 00:00:00 UTC,,,,3.20930527777778
2011-12-13 00:00:00 UTC,,,,3.20144767924528
2011-12-14 00:00:00 UTC,,,,3.16031291666667
2011-12-15 00:00:00 UTC,,,,3.19325553571428
2011-12-16 00:00:00 UTC,,,,3.24030305555555
2011-12-17 00:00:00 UTC,,,,3.25728785714286
2011-12-18 00:00:00 UTC,,,,3.26316666666667
2011-12-19 00:00:00 UTC,,,,3.347224
2011-12-20 00:00:00 UTC,,,,3.96186263888889
2011-12-21 00:00:00 UTC,,,,4.05123
2011-12-22 00:00:00 UTC,,,,3.9580925
2011-12-25 00:00:00 UTC,,,,3.91856
2011-12-26 00:00:00 UTC,,,,3.9425
2011-12-27 00:00:00 UTC,,,,4.00788616724739
2011-12-28 00:00:00 UTC,,,,4.136145
2011-12-29 00:00:00 UTC,,,,4.253444
2011-12-30 00:00:00 UTC,,,,4.2167875
2012-01-01 00:00:00 UTC,,,,4.85
2012-01-02 00:00:00 UTC,,,,5.14664666666667
2012-01-03 00:00:00 UTC,,,,5.14609
2012-01-04 00:00:00 UTC,,,,4.87892666666667
2012-01-05 00:00:00 UTC,,,,6.3855
2012-01-06 00:00:00 UTC,,,,6.87374916666667
2012-01-09 00:00:00 UTC,,,,6.954395
2012-01-10 00:00:00 UTC,,,,6.304404
2012-01-11 00:00:00 UTC,,,,6.58128222222222
2012-01-12 00:00:00 UTC,,,,6.49739111111111
2012-01-13 00:00:00 UTC,,,,6.61717875
2012-01-14 00:00:00 UTC,,,,6.327952
2012-01-16 00:00:00 UTC,,,,6.78970085714286
2012-01-17 00:00:00 UTC,,,,6.11845833333333
2012-01-18 00:00:00 UTC,,,,5.61218833333333
2012-01-19 00:00:00 UTC,,,,6.03915026785714
2012-01-20 00:00:00 UTC,,,,6.26971125
2012-01-22 00:00:00 UTC,,,,6.0448819047619
2012-01-23 00:00:00 UTC,,,,5.96685
2012-01-24 00:00:00 UTC,,,,6.13216779761905
2012-01-25 00:00:00 UTC,,,,6.09928
2012-01-26 00:00:00 UTC,,,,5.56797
2012-01-27 00:00:00 UTC,,,,5.0508732831748
2012-01-28 00:00:00 UTC,,,,5.116363
2012-01-29 00:00:00 UTC,,,,5.3213925
2012-01-30 00:00:00 UTC,,,,5.25144416666667
2012-01-31 00:00:00 UTC,,,,5.32383
2012-02-01 00:00:00 UTC,,,,5.38907854700855
2012-02-02 00:00:00 UTC,,,,5.70334620779221
2012-02-03 00:00:00 UTC,,,,5.696329
2012-02-04 00:00:00 UTC,,,,5.60557333333333
2012-02-05 00:00:00 UTC,,,,5.415
2012-02-07 00:00:00 UTC,,,,5.27636416666667
