Time,bit-x,bitcoinde,bitstamp,cex.io,coinbase,exmo,kraken,others,paymium,therocktrading
2011-07-13 00:00:00 UTC,,,,,,,,,,
2011-07-14 00:00:00 UTC,,,,,,,,,,
2011-07-15 00:00:00 UTC,,,,,,,,,,
2011-07-16 00:00:00 UTC,,,,,,,,,,
2011-07-17 00:00:00 UTC,,,,,,,,,,
2011-07-18 00:00:00 UTC,,,,,,,,10.0,,
2011-07-19 00:00:00 UTC,,,,,,,,9.0,,
2011-07-20 00:00:00 UTC,,,,,,,,,,
2011-07-21 00:00:00 UTC,,,,,,,,,,
2011-07-22 00:00:00 UTC,,,,,,,,,,
2011-07-23 00:00:00 UTC,,,,,,,,,,
2011-07-24 00:00:00 UTC,,,,,,,,,,
2011-07-25 00:00:00 UTC,,,,,,,,,,
2011-07-26 00:00:00 UTC,,,,,,,,13.0,,
2011-07-27 00:00:00 UTC,,,,,,,,,,
2011-07-28 00:00:00 UTC,,,,,,,,,,
2011-07-29 00:00:00 UTC,,,,,,,,,,
2011-07-30 00:00:00 UTC,,,,,,,,,,
2011-07-31 00:00:00 UTC,,,,,,,,,,
2011-08-01 00:00:00 UTC,,,,,,,,,,
2011-08-02 00:00:00 UTC,,,,,,,,,,
2011-08-03 00:00:00 UTC,,,,,,,,8.15,,
2011-08-04 00:00:00 UTC,,,,,,,,,,
2011-08-05 00:00:00 UTC,,,,,,,,,,
2011-08-06 00:00:00 UTC,,,,,,,,,,
2011-08-07 00:00:00 UTC,,,,,,,,,,
2011-08-08 00:00:00 UTC,,,,,,,,8.0,,
2011-08-09 00:00:00 UTC,,,,,,,,,,
2011-08-10 00:00:00 UTC,,,,,,,,,,
2011-08-11 00:00:00 UTC,,,,,,,,8.0,,
2011-08-13 00:00:00 UTC,,,,,,,,6.5,,
2011-08-16 00:00:00 UTC,,,,,,,,6.5,,
2011-08-18 00:00:00 UTC,,,,,,,,8.0,,
2011-08-19 00:00:00 UTC,,,,,,,,8.36666666666667,,
2011-08-20 00:00:00 UTC,,,,,,,,8.0,,
2011-08-21 00:00:00 UTC,,,,,,,,7.5,,
2011-08-22 00:00:00 UTC,,,,,,,,8.15,,
2011-08-23 00:00:00 UTC,,,,,,,,8.06333333333333,,
2011-08-24 00:00:00 UTC,,,,,,,,7.82666666666667,,
2011-08-25 00:00:00 UTC,,,,,,,,7.565,,
2011-08-26 00:00:00 UTC,,,,,,,,7.201666666666665,,
2011-08-27 00:00:00 UTC,,,,,,,,6.7125,,
2011-08-28 00:00:00 UTC,,,,,,,,7.0,,
2011-08-29 00:00:00 UTC,,,,,,,,6.65,,
2011-08-30 00:00:00 UTC,,,,,,,,6.6,,
2011-08-31 00:00:00 UTC,,,,,,,,6.275,,
2011-09-01 00:00:00 UTC,,,,,,,,6.275,,
2011-09-02 00:00:00 UTC,,,,,,,,,,
2011-09-03 00:00:00 UTC,,,,,,,,6.025,,
2011-09-04 00:00:00 UTC,,,,,,,,6.15,,
2011-09-05 00:00:00 UTC,,,,,,,,5.62,,
2011-09-06 00:00:00 UTC,,,,,,,,4.9,,
2011-09-07 00:00:00 UTC,,,,,,,,4.864644999999999,,
2011-09-08 00:00:00 UTC,,,,,,,,5.0,,
2011-09-09 00:00:00 UTC,,,,,,,,4.752,,
