Time,anxbtc,bit-x,bitmarket,britcoin,coinbase,coinfloor,kraken,mtgox
2011-06-17 00:00:00 UTC,,,13.0,,,,,
2011-06-22 00:00:00 UTC,,,,,,,,
2011-06-24 00:00:00 UTC,,,,,,,,
2011-06-25 00:00:00 UTC,,,,,,,,
2011-06-26 00:00:00 UTC,,,10.75,,,,,
2011-06-27 00:00:00 UTC,,,,,,,,
2011-06-28 00:00:00 UTC,,,,,,,,
2011-06-29 00:00:00 UTC,,,,,,,,
2011-06-30 00:00:00 UTC,,,,,,,,
2011-07-01 00:00:00 UTC,,,,,,,,
2011-07-02 00:00:00 UTC,,,,,,,,
2011-07-03 00:00:00 UTC,,,,,,,,
2011-07-04 00:00:00 UTC,,,,,,,,
2011-07-05 00:00:00 UTC,,,,,,,,
2011-07-06 00:00:00 UTC,,,,,,,,
2011-07-07 00:00:00 UTC,,,,,,,,
2011-07-08 00:00:00 UTC,,,,,,,,
2011-07-09 00:00:00 UTC,,,,,,,,
2011-07-10 00:00:00 UTC,,,,,,,,
2011-07-11 00:00:00 UTC,,,,9.2,,,,
2011-07-12 00:00:00 UTC,,,,,,,,
2011-07-13 00:00:00 UTC,,,,,,,,
2011-07-14 00:00:00 UTC,,,,,,,,
2011-07-15 00:00:00 UTC,,,,,,,,
2011-07-16 00:00:00 UTC,,,,,,,,
2011-07-17 00:00:00 UTC,,,,,,,,
2011-07-18 00:00:00 UTC,,,,8.15,,,,
2011-07-19 00:00:00 UTC,,,8.98,,,,,
2011-07-20 00:00:00 UTC,,,,,,,,
2011-07-21 00:00:00 UTC,,,,,,,,
2011-07-22 00:00:00 UTC,,,,,,,,
2011-07-23 00:00:00 UTC,,,,,,,,
2011-07-24 00:00:00 UTC,,,,,,,,
2011-07-25 00:00:00 UTC,,,,,,,,
2011-07-26 00:00:00 UTC,,,,,,,,
2011-07-27 00:00:00 UTC,,,,,,,,
2011-07-28 00:00:00 UTC,,,,,,,,
2011-07-29 00:00:00 UTC,,,,,,,,
2011-07-30 00:00:00 UTC,,,,,,,,
2011-07-31 00:00:00 UTC,,,,,,,,
2011-08-01 00:00:00 UTC,,,,,,,,
2011-08-02 00:00:00 UTC,,,,,,,,
2011-08-03 00:00:00 UTC,,,,,,,,
2011-08-04 00:00:00 UTC,,,,,,,,
2011-08-05 00:00:00 UTC,,,,,,,,
2011-08-06 00:00:00 UTC,,,,,,,,
2011-08-07 00:00:00 UTC,,,,,,,,
2011-08-08 00:00:00 UTC,,,,,,,,
2011-08-09 00:00:00 UTC,,,,,,,,
2011-08-10 00:00:00 UTC,,,,,,,,
2011-08-11 00:00:00 UTC,,,,,,,,
2011-08-12 00:00:00 UTC,,,,,,,,
2011-08-13 00:00:00 UTC,,,,,,,,
2011-08-14 00:00:00 UTC,,,,,,,,
2011-08-15 00:00:00 UTC,,,,,,,,
2011-08-16 00:00:00 UTC,,,,7.2968,,,,
2011-08-17 00:00:00 UTC,,,,,,,,
2011-08-18 00:00:00 UTC,,,,,,,,
2011-08-19 00:00:00 UTC,,,,,,,,
2011-08-20 00:00:00 UTC,,,,,,,,
2011-08-21 00:00:00 UTC,,,,,,,,
2011-08-22 00:00:00 UTC,,,,,,,,
2011-08-23 00:00:00 UTC,,,,,,,,
2011-08-24 00:00:00 UTC,,,7.0,,,,,
2011-08-25 00:00:00 UTC,,,,,,,,
2011-08-26 00:00:00 UTC,,,,,,,,
2011-08-27 00:00:00 UTC,,,,,,,,
2011-08-28 00:00:00 UTC,,,,,,,,
2011-08-29 00:00:00 UTC,,,,,,,,
2011-08-30 00:00:00 UTC,,,,,,,,
2011-08-31 00:00:00 UTC,,,,,,,,
2011-09-01 00:00:00 UTC,,,,,,,,
2011-09-02 00:00:00 UTC,,,,,,,,
2011-09-03 00:00:00 UTC,,,,,,,,
2011-09-04 00:00:00 UTC,,,,,,,,
2011-09-05 00:00:00 UTC,,,,,,,,
2011-09-06 00:00:00 UTC,,,,,,,,
2011-09-07 00:00:00 UTC,,,,,,,,4.35229
2011-09-08 00:00:00 UTC,,,,,,,,
2011-09-09 00:00:00 UTC,,,,,,,,
2011-09-10 00:00:00 UTC,,,,,,,,
2011-09-11 00:00:00 UTC,,,,,,,,
2011-09-12 00:00:00 UTC,,,,3.78,,,,
2011-09-13 00:00:00 UTC,,,,,,,,3.84593
2011-09-14 00:00:00 UTC,,,,,,,,
2011-09-15 00:00:00 UTC,,,,,,,,
2011-09-16 00:00:00 UTC,,,4.65,,,,,
2011-09-17 00:00:00 UTC,,,,,,,,
2011-09-18 00:00:00 UTC,,,,,,,,
2011-09-19 00:00:00 UTC,,,,,,,,
2011-09-20 00:00:00 UTC,,,,,,,,
2011-09-21 00:00:00 UTC,,,,,,,,
2011-09-22 00:00:00 UTC,,,,,,,,
2011-09-23 00:00:00 UTC,,,,,,,,
2011-09-24 00:00:00 UTC,,,,,,,,
2011-09-25 00:00:00 UTC,,,,,,,,
2011-09-26 00:00:00 UTC,,,,,,,,
2011-09-27 00:00:00 UTC,,,,,,,,
2011-09-28 00:00:00 UTC,,,,,,,,
2011-09-29 00:00:00 UTC,,,,,,,,
2011-09-30 00:00:00 UTC,,,,,,,,
2011-10-01 00:00:00 UTC,,,,,,,,
2011-10-02 00:00:00 UTC,,,,,,,,
2011-10-03 00:00:00 UTC,,,,,,,,
2011-10-04 00:00:00 UTC,,,,,,,,
2011-10-05 00:00:00 UTC,,,,,,,,
2011-10-06 00:00:00 UTC,,,,,,,,
2011-10-07 00:00:00 UTC,,,,,,,,
2011-10-08 00:00:00 UTC,,,,,,,,
2011-10-09 00:00:00 UTC,,,,,,,,
2011-10-10 00:00:00 UTC,,,,2.62474,,,,
2011-10-11 00:00:00 UTC,,,,,,,,2.65686
2011-10-12 00:00:00 UTC,,,3.0,,,,,
2011-10-13 00:00:00 UTC,,,,,,,,
2011-10-14 00:00:00 UTC,,,,,,,,
2011-10-15 00:00:00 UTC,,,,,,,,
2011-10-16 00:00:00 UTC,,,,,,,,
2011-10-17 00:00:00 UTC,,,,,,,,
2011-10-18 00:00:00 UTC,,,,,,,,
2011-10-19 00:00:00 UTC,,,,,,,,
2011-10-20 00:00:00 UTC,,,,,,,,
2011-10-21 00:00:00 UTC,,,,,,,,
2011-10-22 00:00:00 UTC,,,,,,,,
2011-10-23 00:00:00 UTC,,,,,,,,
2011-10-24 00:00:00 UTC,,,,,,,,
2011-10-25 00:00:00 UTC,,,,,,,,
2011-10-26 00:00:00 UTC,,,,,,,,
2011-10-27 00:00:00 UTC,,,,,,,,
2011-10-28 00:00:00 UTC,,,,,,,,
2011-10-29 00:00:00 UTC,,,,,,,,
2011-10-30 00:00:00 UTC,,,,,,,,
2011-10-31 00:00:00 UTC,,,,,,,,
2011-11-01 00:00:00 UTC,,,,,,,,
2011-11-02 00:00:00 UTC,,,,,,,,
2011-11-03 00:00:00 UTC,,,,,,,,
2011-11-04 00:00:00 UTC,,,,,,,,
2011-11-05 00:00:00 UTC,,,,,,,,
2011-11-06 00:00:00 UTC,,,,,,,,
2011-11-07 00:00:00 UTC,,,,2.02999,,,,
2011-11-08 00:00:00 UTC,,,,,,,,1.93746
2011-11-09 00:00:00 UTC,,,2.55,,,,,
2011-11-10 00:00:00 UTC,,,,,,,,
2011-11-11 00:00:00 UTC,,,,,,,,
2011-11-12 00:00:00 UTC,,,,,,,,
2011-11-13 00:00:00 UTC,,,,,,,,
2011-11-14 00:00:00 UTC,,,,,,,,
2011-11-15 00:00:00 UTC,,,,,,,,
2011-11-16 00:00:00 UTC,,,,,,,,
2011-11-17 00:00:00 UTC,,,,,,,,
2011-11-18 00:00:00 UTC,,,,,,,,
2011-11-19 00:00:00 UTC,,,,,,,,
2011-11-20 00:00:00 UTC,,,,,,,,
2011-11-21 00:00:00 UTC,,,,,,,,
2011-11-22 00:00:00 UTC,,,,,,,,
2011-11-23 00:00:00 UTC,,,,,,,,
2011-11-24 00:00:00 UTC,,,,,,,,
2011-11-25 00:00:00 UTC,,,,,,,,
2011-11-26 00:00:00 UTC,,,,,,,,
2011-11-27 00:00:00 UTC,,,,,,,,
2011-11-28 00:00:00 UTC,,,,,,,,
2011-11-29 00:00:00 UTC,,,,,,,,
2011-11-30 00:00:00 UTC,,,,,,,,
2011-12-04 00:00:00 UTC,,,,,,,,1.82958148148148
2011-12-05 00:00:00 UTC,,,,,,,,1.8468578989899
2011-12-06 00:00:00 UTC,,,,,,,,1.89166666666667
2011-12-07 00:00:00 UTC,,,2.0,,,,,1.92503526470588
2011-12-08 00:00:00 UTC,,,,,,,,1.92224538888889
2011-12-09 00:00:00 UTC,,,,,,,,1.92682
2011-12-10 00:00:00 UTC,,,,,,,,1.903376
2011-12-11 00:00:00 UTC,,,,,,,,2.05854108421053
2011-12-12 00:00:00 UTC,,,,,,,,2.06220916666667
2011-12-13 00:00:00 UTC,,,,,,,,2.09277159879336
2011-12-14 00:00:00 UTC,,,,,,,,2.06920833333333
2011-12-15 00:00:00 UTC,,,,,,,,2.05194475
2011-12-16 00:00:00 UTC,,,,,,,,2.085548953125
2011-12-17 00:00:00 UTC,,,,,,,,2.07483291666667
2011-12-18 00:00:00 UTC,,,,,,,,2.065
2011-12-19 00:00:00 UTC,,,,,,,,2.2004225
2011-12-20 00:00:00 UTC,,,,,,,,2.45904178888889
2011-12-21 00:00:00 UTC,,,,,,,,2.57669442460318
2011-12-22 00:00:00 UTC,,,,,,,,2.52291046875
2011-12-23 00:00:00 UTC,,,,,,,,2.48876714285714
2011-12-24 00:00:00 UTC,,,,,,,,2.54
2011-12-25 00:00:00 UTC,,,,,,,,2.61588256410256
2011-12-26 00:00:00 UTC,,,,,,,,2.59208333333333
2011-12-27 00:00:00 UTC,,,,,,,,2.57025375
2011-12-28 00:00:00 UTC,,,,,,,,2.65613166666667
2011-12-29 00:00:00 UTC,,,,,,,,2.74549726260178
2011-12-30 00:00:00 UTC,,,,,,,,2.77476493055556
2011-12-31 00:00:00 UTC,,,,,,,,2.90490040123457
2012-01-01 00:00:00 UTC,,,,,,,,3.28434398484849
2012-01-02 00:00:00 UTC,,,,,,,,3.42878392857143
2012-01-03 00:00:00 UTC,,,,,,,,3.29075666666667
2012-01-04 00:00:00 UTC,,,,,,,,3.35839180120756
2012-01-05 00:00:00 UTC,,,,,,,,3.98017166694725
